StudentID,ProgramID
1001,A1
1001,A4
1001,D5
1002,A1
1002,A4
1002,D5
1003,A1
1003,A4
1003,D5
1004,A1
1004,A4
1004,D5
1005,A1
1005,A4
1005,D5
1006,C3
1006,D3
1006,C9
1007,C3
1007,D3
1007,C9
1008,C3
1008,D3
1008,C9
1009,C4
1009,C6
1009,D6
1010,C4
1010,C6
1010,D6
1011,C4
1011,C6
1011,D6
1012,C4
1012,C6
1012,D6
1013,A2
1013,D4
1014,A2
1014,D4
1015,A3
1015,C5
1015,D7
1016,A3
1016,C5
1016,D7
1017,A3
1017,C5
1017,D7
